name,n_pubs,n_clusters,precision,recall,f1
hongbin_liang,183,5,1.00000,1.00000,1.00000
j_yu,265,26,0.50866,0.53566,0.52181
s_yu,61,9,0.80952,0.94444,0.87179
he_ping_li,234,5,0.66686,0.33011,0.44161
song_chen,598,28,0.46805,0.31450,0.37621
jia_xu,609,25,0.71342,0.17292,0.27837
lixin_tang,195,3,0.49850,0.97926,0.66068
guotong_du,220,1,1.00000,1.00000,1.00000
chih_ming_lin,162,9,0.71089,0.25341,0.37363
wensheng_yang,276,3,0.82720,0.64797,0.72670
fosong_wang,356,1,1.00000,1.00000,1.00000
guorong_chen,335,5,0.98890,0.66288,0.79372
bo_ai,225,4,0.85326,0.54582,0.66576
yongjian_tang,198,1,1.00000,1.00000,1.00000
qi_hu,173,13,0.76336,0.58824,0.66445
ping_fu,287,10,0.95128,0.83010,0.88657
geng_yang,292,6,0.93258,0.99919,0.96474
li_zhu_wu,224,2,0.93892,0.99079,0.96416
da_xing,596,3,0.55773,0.35236,0.43187
jian_guo_he,185,4,0.86246,0.84697,0.85465
xiaobing_luo,196,3,0.99007,0.92122,0.95441
yang_shen,485,30,0.74645,0.51955,0.61266
lan_sun,181,6,0.72190,0.57632,0.64095
jian_du,162,15,0.77798,0.56213,0.65267
jianhua_lu,361,5,0.95154,0.53140,0.68195
jing_luo,469,28,0.52649,0.44614,0.48300
zhigang_zeng,235,5,0.98622,0.57893,0.72958
jian_feng,465,19,0.93177,0.71635,0.80998
hua_fu,415,12,0.83650,0.70654,0.76605
mei_xu,98,11,0.79060,0.74148,0.76525
ruijin_liao,236,2,0.91038,0.99113,0.94904
yu_ming_wang,227,10,0.73035,0.52322,0.60968
bo_hong,321,13,0.82262,0.74271,0.78063
weiming_zhu,160,5,0.86456,0.96474,0.91191
xu_xu,555,28,0.72208,0.58237,0.64475
rong_yu,273,9,0.80760,0.46281,0.58842
yong_tian,262,16,0.73049,0.50726,0.59875
lu_han,366,24,0.53316,0.37008,0.43690
lin_huang,553,31,0.82072,0.51820,0.63529
kexin_xu,203,3,0.89968,0.48096,0.62682
wei_quan,174,7,0.40654,0.32933,0.36388
tao_deng,306,15,0.84452,0.42703,0.56724
hongbin_li,286,15,0.66319,0.69208,0.67732
hua_bai,351,11,0.52221,0.30543,0.38543
mei_ling_chen,161,10,0.57883,0.45907,0.51204
yanqing_wang,107,9,0.64645,0.65065,0.64854
xu_dong_zhang,224,6,0.65592,0.26011,0.37250
qiang_shi,241,17,0.54606,0.42860,0.48025
min_zheng,523,28,0.56180,0.21233,0.30818
yue_tian,127,5,0.90775,0.69404,0.78664
jian_shao,162,7,0.94993,0.65349,0.77431
tian_chen,180,14,0.75285,0.67756,0.71323
yan_yan_li,103,7,0.79560,0.68821,0.73802
xue_qin,224,5,0.90939,0.94763,0.92812
ming_shi,262,9,0.88107,0.24739,0.38631
chunyan_liu,222,6,0.60526,0.32928,0.42652
shuai_yuan,310,16,0.51160,0.42490,0.46424
wen_chang_chen,301,3,0.99845,0.95857,0.97810
minghui_li,173,8,0.68895,0.40729,0.51194
kwok_fai_so,229,2,0.88140,0.50052,0.63848
yin_shi,169,3,1.00000,1.00000,1.00000
rong_lu,205,16,0.79547,0.85190,0.82272
s_lin,71,9,0.84273,0.91318,0.87654
shengkai_gong,238,1,1.00000,1.00000,1.00000
yong_qing_huang,196,4,0.59313,0.56647,0.57949
jie_jiang,558,28,0.57816,0.53849,0.55762
xiao_ning_zhang,186,8,0.87342,0.62439,0.72820
chun_hung_lin,217,5,0.58341,0.32199,0.41496
xiao_juan_li,100,9,0.64480,0.41589,0.50565
fei_sun,357,21,0.58272,0.34064,0.42994
yongqing_huang,352,2,0.96630,0.99422,0.98006
zhifeng_liu,340,10,0.83230,0.64757,0.72841
su_zeng,253,2,0.94962,0.83715,0.88984
lei_song,700,34,0.62083,0.62641,0.62361
mian_chen,185,2,0.98855,0.99926,0.99388
fuchu_he,274,1,1.00000,1.00000,1.00000
shuang_song,154,8,0.86303,0.80000,0.83032
hongtao_liu,328,11,0.62269,0.19063,0.29190
c_y_huang,203,24,0.59203,0.66383,0.62588
s_c_wu,208,14,0.70393,0.59087,0.64246
wei_jun_zhang,200,3,0.50897,0.40570,0.45151
jiamo_fu,364,2,0.97073,0.56136,0.71135
hong_fan,366,16,0.78116,0.67438,0.72385
h_xie,105,13,0.77756,0.84632,0.81048
dan_sun,204,16,0.79012,0.83597,0.81240
shui_wang,305,9,0.53381,0.65010,0.58624
feng_teng,228,2,0.99545,0.88089,0.93467
j_h_lin,189,12,0.85807,0.96399,0.90795
lili_ma,133,5,0.80158,0.32327,0.46073
yongqing_li,150,6,0.66438,0.34369,0.45303
yin_wu,179,6,0.84359,0.57606,0.68461
junling_wang,157,8,0.68793,0.45261,0.54599
jian_ping_wang,399,19,0.54978,0.10703,0.17918
ping_sun,524,30,0.56308,0.58282,0.57278
jianqiang_yi,226,3,0.49797,0.55978,0.52707
philip_kam_tao_li,245,3,0.88590,0.48284,0.62502
dandan_zhang,162,15,0.64345,0.50540,0.56613
yun_zhou,607,23,0.65246,0.29697,0.40816
weiwei_li,259,14,0.40941,0.30812,0.35162
xi_huang,269,11,0.81137,0.75282,0.78100
average,,,0.76320,0.61765,0.68275
